sensor_index,time_stamp,pm2.5_alt,pm2.5_atm,pm2.5_cf_1,temperature,humidity,pressure
156171,1695780000,11.2,19.54,19.543,60,62.2,1026.96
156171,1695861600,5.3,8.53,8.527000000000001,62,60,1023.876
156171,1695848400,4.3,6.41,6.406000000000001,72.8,40.6,1022.91
156171,1695702600,20.8,35.22,38.275,59.6,63,1024.61
156171,1695715800,19.5,34.00,36.164,57.4,64.4,1025.596
156171,1695713400,21.3,36.05,39.477000000000004,57.8,65,1025.498
156171,1695690600,17.4,29.56,30.192999999999998,63,59,1023.644
156171,1695835800,4.1,6.24,6.236000000000001,74,39,1024.82
156171,1695825000,6.6,10.55,10.554,62.8,56.2,1027.138
156171,1695679800,10.5,17.65,17.654,69,59.2,1021.436
156171,1695660600,17.9,29.90,30.749000000000002,68,60.2,1019.4
156171,1695633600,14.4,25.26,25.363,62,66,1015.53
156171,1695684000,14.2,23.83,23.832,66,58,1022.244
156171,1695792600,9.7,17.97,17.972,56,65,1027.438
156171,1695787200,12,21.82,21.815,57.6,64,1027.174
156171,1695739800,10.7,17.54,17.535,65,54.6,1028.17
156171,1695739200,10.5,17.08,17.076999999999998,64.6,55,1028.156
156171,1695751800,9.5,15.87,15.866,73,39.4,1026.368
156171,1695721800,17,30.88,31.488999999999997,57,65,1026.192
156171,1695716400,19.3,33.75,35.67100000000001,57,65,1025.606
156171,1695760800,9.2,15.31,15.312000000000001,70.4,42.8,1025.558
156171,1695847800,10.4,16.43,17.7,73,40.6,1022.882
156171,1695837600,4.4,6.66,6.66,74,39.4,1024.422
156171,1695618000,9.1,15.69,15.693,62.6,64,1015.34
156171,1695649800,18.7,31.92,33.774,64.4,65.2,1018.344
156171,1695646800,16.9,29.06,29.779,64,66,1017.958
156171,1695624000,10.1,17.24,17.237,63,63.2,1015.084
156171,1695678000,10.3,17.18,17.18,70,54,1021.004
156171,1695679200,10.2,16.92,16.92,69.4,57.2,1021.316
156171,1695605400,15.3,27.01,27.205,63.2,65,1016.354
156171,1695678600,10.4,17.23,17.226,70,55.6,1021.152
156171,1695670800,10.3,16.82,16.823999999999998,70,57.8,1019.952
156171,1695786600,12,21.61,21.614,57.8,63,1027.14
156171,1695774000,11.1,19.23,19.227,62.2,60,1026.268
156171,1695774600,11.7,19.98,19.985,62,61,1026.366
156171,1695854400,4.6,7.02,7.019,68.6,49.8,1023.184
156171,1695855000,4.8,7.40,7.402,67.4,51.6,1023.252
156171,1695724800,16,29.92,30.314999999999998,56,65,1026.688
156171,1695741600,10.5,17.32,17.319000000000003,67,50.8,1027.776
156171,1695697200,20.8,34.06,36.814,61,59.8,1024.682
156171,1695827400,6.9,11.09,11.086,66,53,1026.796
156171,1695826200,6.9,10.84,10.837,64.4,54.4,1027.07
156171,1695641400,16.9,29.06,29.573,62.2,67,1016.642
156171,1695650400,18.9,31.69,33.282000000000004,65,65.4,1018.368
156171,1695799200,9.4,17.32,17.323,56,66.2,1026.838
156171,1695753600,9.6,15.29,15.286,72.8,39.2,1026.024
156171,1695767400,8.9,14.75,14.747,67,53.2,1025.796
156171,1695694200,19.3,32.37,34.066,62,60.6,1024.21
156171,1695705600,20.6,34.76,37.427,59,63,1024.942
156171,1695712800,23,38.35,42.995999999999995,57.2,64.4,1025.52
156171,1695690000,17.5,29.78,30.493,63,59,1023.608
156171,1695714000,20.2,35.03,37.828,58,65,1025.486
156171,1695719400,18,31.97,33.039,57,65,1025.678
156171,1695807000,6.3,10.83,10.834,55,65,1026.798
156171,1695666600,19.1,31.36,32.939,68,63.2,1019.742
156171,1695628800,12.7,22.17,22.175,62,65,1015.246
156171,1695630000,12.7,22.10,22.105,62.4,65.2,1015.316
156171,1695636000,16.1,27.97,28.275,62,66.6,1015.86
156171,1695631200,13.6,23.81,23.841,62,66,1015.45
156171,1695808200,6.2,10.56,10.56,54.8,65,1026.804
156171,1695779400,11.1,19.48,19.479,60,62,1026.918
156171,1695859800,5.2,8.32,8.322,63,57.8,1023.722
156171,1695731400,14.7,26.50,26.625999999999998,59,63.2,1027.78
156171,1695766200,9,15.18,15.183,68.8,49.8,1025.596
156171,1695771000,9.7,16.50,16.495,64,57,1025.978
156171,1695741000,10.5,17.02,17.019,66.2,52,1027.92
156171,1695844800,4.1,6.31,6.311999999999999,74,39.4,1023.088
156171,1695843600,4.1,5.93,5.926,74,39.2,1023.2
156171,1695829800,11.1,17.42,20.052,70.2,48.2,1026.324
156171,1695819600,5.8,10.05,10.047,54.4,65,1027.288
156171,1695676800,10.2,16.83,16.826,70,52.2,1020.96
156171,1695618600,9.1,15.09,15.089,63,63.6,1015.476
156171,1695654600,19.1,31.76,33.504999999999995,66,64,1018.906
156171,1695660000,18,30.21,31.236,68,60,1019.356
156171,1695611400,10.9,18.29,18.288,63,63.8,1015.954
156171,1695646200,17.3,29.84,30.677999999999997,64,66.6,1017.864
156171,1695639600,16.7,29.18,29.971000000000004,62,67,1016.35
156171,1695675600,10.3,17.18,17.181,70,52.2,1020.728
156171,1695663600,19.1,31.63,33.219,68,62.2,1019.556
156171,1695656400,19.5,32.14,34.083,67,62.8,1018.95
156171,1695795000,9,16.31,16.314,56,65.8,1027.266
156171,1695849000,4.1,6.23,6.227,72.4,41.4,1023.026
156171,1695708000,20.1,34.64,37.196,58,63,1025.238
156171,1695761400,9.2,15.72,15.722999999999999,70,43.2,1025.562
156171,1695706200,20,34.32,36.657,59,63,1024.99
156171,1695815400,5.5,9.78,9.776,53.4,64.2,1027.282
156171,1695814200,5.3,9.31,9.311,53.6,64.8,1027.24
156171,1695670200,11.7,19.75,19.771,70,58.2,1019.966
156171,1695657600,19,31.52,33.204,67.2,62.6,1019.074
156171,1695615000,10.8,19.00,18.996000000000002,63,64.8,1015.584
156171,1695612000,11,19.20,19.204,63,64.2,1015.954
156171,1695643800,17.2,29.56,30.454,63,67,1017.248
156171,1695607200,14.7,25.49,25.589,63,64.8,1016.126
156171,1695666000,19.3,32.00,33.933,68,64,1019.682
156171,1695787800,11.8,21.12,21.117,57,64,1027.158
156171,1695737400,10.1,16.72,16.723,63.2,56,1028.204
156171,1695686400,16.8,28.38,28.712,65,57.6,1022.938
156171,1695703800,20.9,35.25,38.217,59,63,1024.78
156171,1695738600,10.6,17.36,17.355,64,55,1028.174
156171,1695730800,14.6,26.34,26.391,58,63.8,1027.616
156171,1695732600,13,23.25,23.28,59.4,62.4,1028.036
156171,1695664200,19,31.60,33.156,68,62.4,1019.65
156171,1695812400,5.4,9.22,9.218,53,64.4,1027.088
156171,1695802200,8.7,15.39,15.393999999999998,56,66,1026.944
156171,1695800400,9.3,16.59,16.586,56.4,66,1026.934
156171,1695791400,10.4,18.26,18.257,56.2,64,1027.35
156171,1695694800,20.5,33.94,36.582,62,59.8,1024.218
156171,1695696600,21.4,34.53,37.604,61,59.5,1024.592
156171,1695736800,10.1,16.75,16.745,63,56.4,1028.246
156171,1695702000,21.4,35.28,38.607,59.8,62.2,1024.542
156171,1695700800,21.2,35.32,38.598,60,62,1024.674
156171,1695693000,19.4,32.15,33.915,62,60,1024.008
156171,1695768000,9.9,16.70,16.704,66.4,54,1025.69
156171,1695823200,6.5,10.62,10.615,60,61.4,1027.098
156171,1695817800,5.6,9.66,9.658000000000001,54,65.2,1027.316
156171,1695651600,19.3,32.04,34.013999999999996,65,65,1018.468
156171,1695612600,11.2,19.82,19.816,63,64.2,1015.8
156171,1695662400,19.3,31.59,33.242,68,62.2,1019.54
156171,1695655800,19.5,32.62,34.837999999999994,67,63.4,1018.912
156171,1695676200,10.2,16.88,16.884999999999998,70,51.4,1020.842
156171,1695813000,5.1,9.08,9.082,53,64,1027.168
156171,1695790800,10.5,18.70,18.701999999999998,56.4,64,1027.376
156171,1695757800,9.1,15.08,15.081,71,41.4,1025.6
156171,1695743400,10.7,17.83,17.834,68.8,47,1027.738
156171,1695764400,9.2,15.18,15.177,69,46,1025.53
156171,1695755400,9.3,15.10,15.104,72,39.2,1025.764
156171,1695709200,19.7,34.15,36.425,58,63,1025.196
156171,1695687000,17.5,29.35,29.819000000000003,65,57,1023.102
156171,1695715200,20,34.55,37.010000000000005,57.4,64.6,1025.558
156171,1695842400,4.4,6.76,6.763,74.6,38.8,1023.364
156171,1695832200,4.9,7.66,7.661,72,43,1025.876
156171,1695819000,5.9,9.97,9.966999999999999,54.8,65,1027.344
156171,1695671400,9.6,15.66,15.658999999999999,70,55.8,1020.002
156171,1695634200,15,26.13,26.310000000000002,62,66.4,1015.514
156171,1695801600,9.2,16.59,16.587,56,66,1026.992
156171,1695758400,9,15.04,15.043,71,42,1025.6
156171,1695835200,4.1,5.95,5.949,74,39.8,1024.94
156171,1695829200,6.5,10.52,10.518,69,48.8,1026.486
156171,1695824400,6.4,10.37,10.374,61.8,58.8,1027.124
156171,1695633000,14.1,24.60,24.69,62,66,1015.51
156171,1695638400,15.7,27.70,28,62,67,1016.244
156171,1695802800,8.3,15.33,15.331,55.8,66,1026.87
156171,1695850800,4.3,6.58,6.579000000000001,71.4,43,1023.108
156171,1695735000,12.9,21.97,21.968,61.2,61,1028.164
156171,1695725400,16,29.80,30.093,56,65,1026.88
156171,1695699000,21.4,35.04,38.557,60.6,61,1024.634
156171,1695623400,10,17.49,17.49,63,62.2,1015.22
156171,1695799800,9.7,17.82,17.817,56,66,1026.832
156171,1695697800,21,34.71,37.899,61,60,1024.582
156171,1695723000,16.4,29.90,30.268,56,64,1026.354
156171,1695721200,17.4,31.12,31.826,57,65,1026.042
156171,1695845400,4.2,6.37,6.37,74,39.8,1023.056
156171,1695838800,4.4,6.55,6.55,74.8,38.8,1024.114
156171,1695828000,6.6,10.31,10.312,67,51.8,1026.712
156171,1695626400,11.6,20.61,20.61,62,64.4,1015.092
156171,1695685200,15.6,27.08,27.223,65,58,1022.514
156171,1695629400,12.7,22.40,22.404000000000003,62.6,65,1015.254
156171,1695811200,5.1,8.56,8.556000000000001,54,64.2,1026.964
156171,1695795600,9,16.21,16.21,56,66.2,1027.218
156171,1695790200,10.3,18.60,18.6,56.8,64,1027.402
